Character Builder Lite	Ron's Character Planner	DDO Builder
Epic Skill Focus: Concentration	Arcane Sphere: Epic Skill Focus: Concentration	Epic Skill Focus: Concentration
Epic Skill Focus: Diplomacy	Divine Sphere: Epic Skill Focus: Diplomacy	Epic Skill Focus: Diplomacy
Epic Skill Focus: Disable Device	Arcane Sphere: Epic Skill Focus: Disable Device	Epic Skill Focus: Disable Device
Epic Skill Focus: Haggle	Divine Sphere: Epic Skill Focus: Haggle	Epic Skill Focus: Haggle
Epic Skill Focus: Heal	Divine Sphere: Epic Skill Focus: Heal	Epic Skill Focus: Heal
Epic Skill Focus: Hide	Martial Sphere: Epic Skill Focus: Hide	Epic Skill Focus: Hide
Epic Skill Focus: Intimidate	Primal Sphere: Epic Skill Focus: Intimidate	Epic Skill Focus: Intimidate
Epic Skill Focus: Jump	Primal Sphere: Epic Skill Focus: Jump	Epic Skill Focus: Jump
Epic Skill Focus: Listen	Divine Sphere: Epic Skill Focus: Listen	Epic Skill Focus: Listen
Epic Skill Focus: Move Silently	Primal Sphere: Epic Skill Focus: Move Silently	Epic Skill Focus: Move Silently
Epic Skill Focus: Open Lock	Martial Sphere: Epic Skill Focus: Open Lock	Epic Skill Focus: Open Lock
Epic Skill Focus: Perform	Arcane Sphere: Epic Skill Focus: Perform	Epic Skill Focus: Perform
Epic Skill Focus: Repair	Arcane Sphere: Epic Skill Focus: Repair	Epic Skill Focus: Repair
Epic Skill Focus: Search	Martial Sphere: Epic Skill Focus: Search	Epic Skill Focus: Search
Epic Skill Focus: Spellcraft	Arcane Sphere: Epic Skill Focus: Spellcraft	Epic Skill Focus: Spell Craft
Epic Skill Focus: Spot	Primal Sphere: Epic Skill Focus: Spot	Epic Skill Focus: Spot
Epic Skill Focus: Swim	Martial Sphere: Epic Skill Focus: Swim	Epic Skill Focus: Swim
Epic Skill Focus: Tumble	Primal Sphere: Epic Skill Focus: Tumble	Epic Skill Focus: Tumble
Epic Spell Focus: Abjuration	Epic: Epic Spell Focus: Abjuration	Epic Spell Focus: Abjuration
Epic Spell Focus: Conjuration	Epic: Epic Spell Focus: Conjuration	Epic Spell Focus: Conjuration
Epic Spell Focus: Enchantment	Epic: Epic Spell Focus: Enchantment	Epic Spell Focus: Enchantment
Epic Spell Focus: Evocation	Epic: Epic Spell Focus: Evocation	Epic Spell Focus: Evocation
Epic Spell Focus: Illusion	Epic: Epic Spell Focus: Illusion	Epic Spell Focus: Illusion
Epic Spell Focus: Necromancy	Epic: Epic Spell Focus: Necromancy	Epic Spell Focus: Necromancy
Epic Spell Focus: Transmutation	Epic: Epic Spell Focus: Transmutation	Epic Spell Focus: Transmutation
Epic Spell Penetration	Epic: Epic Spell Penetration	Epic Spell Penetration
Epic Spell Power: Acid	Arcane Sphere: Epic Spell Power: Acid	Epic Spell Power: Acid
Epic Spell Power: Acid	Primal Sphere: Epic Spell Power: Acid	Epic Spell Power: Acid
Epic Spell Power: Cold	Arcane Sphere: Epic Spell Power: Cold	Epic Spell Power: Cold
Epic Spell Power: Cold	Primal Sphere: Epic Spell Power: Cold	Epic Spell Power: Cold
Epic Spell Power: Electricity	Arcane Sphere: Epic Spell Power: Electricity	Epic Spell Power: Electricity
Epic Spell Power: Electricity	Primal Sphere: Epic Spell Power: Electricity	Epic Spell Power: Electricity
Epic Spell Power: Fire	Arcane Sphere: Epic Spell Power: Fire	Epic Spell Power: Fire
Epic Spell Power: Fire	Divine Sphere: Epic Spell Power: Fire	Epic Spell Power: Fire
Epic Spell Power: Fire	Primal Sphere: Epic Spell Power: Fire	Epic Spell Power: Fire
Epic Spell Power: Force	Arcane Sphere: Epic Spell Power: Force	Epic Spell Power: Force
Epic Spell Power: Light	Divine Sphere: Epic Spell Power: Light	Epic Spell Power: Light
Epic Spell Power: Negative	Divine Sphere: Epic Spell Power: Negative	Epic Spell Power: Negative
Epic Spell Power: Positive	Primal Sphere: Epic Spell Power: Positive	Epic Spell Power: Positive
Epic Spell Power: Repair	Arcane Sphere: Epic Spell Power: Repair	Epic Spell Power: Repair
Epic Spell Power: Sonic	Arcane Sphere: Epic Spell Power: Sonic	Epic Spell Power: Sonic
Epic Spell Power: Sonic	Primal Sphere: Epic Spell Power: Sonic	Epic Spell Power: Sonic
Epic Toughness	Epic: Epic Toughness	Epic Toughness
Epic Will	Epic: Epic Will	Epic Will
Eschew Materials	Eschew Materials	Eschew Materials
Exotic Weapon: Bastard Sword	Exotic Weapon Proficiency: Bastard Sword	Exotic Weapon Proficiency: Bastard Sword
Exotic Weapon: Dwarven Axe	Exotic Weapon Proficiency: Dwarven Waraxe	Exotic Weapon Proficiency: Dwarven Axe
Exotic Weapon: Great Crossbow	Exotic Weapon Proficiency: Great Crossbow	Exotic Weapon Proficiency: Great Crossbow
Exotic Weapon: Handwraps	Exotic Weapon Proficiency: Handwrap	
Exotic Weapon: Kama	Exotic Weapon Proficiency: Kama	Exotic Weapon Proficiency: Kama
Exotic Weapon: Khopesh	Exotic Weapon Proficiency: Khopesh	Exotic Weapon Proficiency: Khopesh
Exotic Weapon: Rpt Hvy Crossbow	Exotic Weapon Proficiency: Repeating Heavy Crossbow	Exotic Weapon Proficiency: Repeating Heavy Crossbow
Exotic Weapon: Rpt Lt Crossbow	Exotic Weapon Proficiency: Repeating Light Crossbow	Exotic Weapon Proficiency: Repeating Light Crossbow
Exotic Weapon: Shuriken	Exotic Weapon Proficiency: Shuriken	Exotic Weapon Proficiency: Shuriken
Extend Spell	Extend Spell	Extend Spell
Extra Turning	Extra Turning	Extra Turning
Favored Enemy: Aberration	Favored Enemy: Aberration	Favored enemy: Aberration
Favored Enemy: Animal	Favored Enemy: Animal	Favored enemy: Animal
Favored Enemy: Chaotic Outsider	Favored Enemy: Chaotic Outsider	Favored enemy: Chaotic Outsider
Favored Enemy: Construct	Favored Enemy: Construct	Favored enemy: Construct
Favored Enemy: Dragon	Favored Enemy: Dragon	Favored enemy: Dragon
Favored Enemy: Dwarf	Favored Enemy: Dwarf	Favored enemy: Dwarf
Favored Enemy: Elemental	Favored Enemy: Elemental	Favored enemy: Elemental
Favored Enemy: Elf	Favored Enemy: Elf	Favored enemy: Elf
Favored Enemy: Evil Outsider	Favored Enemy: Evil Outsider	Favored enemy: Evil Outsider
Favored Enemy: Giant	Favored Enemy: Giant	Favored enemy: Giant
Favored Enemy: Gnoll	Favored Enemy: Gnoll	Favored enemy: Gnoll
Favored Enemy: Goblinoid	Favored Enemy: Goblinoid	Favored enemy: Goblinoid
Favored Enemy: Halfling	Favored Enemy: Halfling	Favored enemy: Halfling
Favored Enemy: Human	Favored Enemy: Human	Favored enemy: Human
Favored Enemy: Lawful Outsider	Favored Enemy: Lawful Outsider	Favored enemy: Lawful Outsider
Favored Enemy: Magical Beast	Favored Enemy: Magical Beast	Favored enemy: Magical Beast
Favored Enemy: Monstrous Humanoid	Favored Enemy: Monstrous Humanoid	Favored enemy: Monstrous Humanoid
Favored Enemy: Ooze	Favored Enemy: Ooze	Favored enemy: Ooze
Favored Enemy: Orc	Favored Enemy: Orc	Favored enemy: Orc
Favored Enemy: Plant	Favored Enemy: Plant	Favored enemy: Plant
Favored Enemy: Reptilian	Favored Enemy: Reptillian	Favored enemy: Reptilian
Favored Enemy: Undead	Favored Enemy: Undead	Favored enemy: Undead
Favored Enemy: Vermin	Favored Enemy: Vermin	Favored enemy: Vermin
First Blood	Martial Sphere: First Blood	First Blood
Follower of: Amaunator	Favored by Amaunator	Favored by Amaunator
Follower of: Aureon	Follower of Aureon	Follower of Aureon
Follower of: Helm	Favored by Helm	Favored by Helm
Follower of: Lord of Blades	Follower of the Lord of Blades	Follower of the Lord of Blades
Follower of: Olladra	Follower of Olladra	Follower of Olladra
Follower of: Onatar	Follower of Onatar	Follower of Onatar
Follower of: Silvanus	Favored by Silvanus	Favored by Silvanus
Follower of: Silver Flame	Follower of the Silver Flame	Follower of the Silver Flame
Follower of: Sovereign Host	Follower of the Sovereign Host	Follower of the Sovereign Host
Follower of: The Blood of Vol	Follower the Blood of Vol	Follower of the Blood of Vol
Follower of: Undying Court	Follower of the Undying Court	Follower of the Undying Court
Follower of: Vulkoor	Follower of Vulkoor	Follower of Vulkoor
Force of Personality	Force of Personality	Force of Personality
Forced Escape	Divine Sphere: Forced Escape	Forced Escape
Fount of Life	Multiple Spheres: Fount of Life	Fount of Life
Grace of Battle	Grace of Battle	Grace of Battle
Grandmaster of Forms	Monk Feats: Grandmaster of Forms	Grandmaster of Forms
Great Ability: Charisma	Epic: Great Charisma	Great Charisma
Great Ability: Constitution	Epic: Great Constitution	Great Constitution
Great Ability: Dexterity	Epic: Great Dexterity	Great Dexterity
Great Ability: Intelligence	Epic: Great Intelligence	Great Intelligence
Great Ability: Strength	Epic: Great Strength	Great Strength
Great Ability: Wisdom	Epic: Great Wisdom	Great Wisdom
Great Cleave	Great Cleave	Great Cleave
Great Fortitude	Great Fortitude	Great Fortitude
Greater Ruin	Epic: Greater Ruin	Greater Ruin
Greater Single Weapon Fighting	Greater Single Weapon Fighting	Greater Single Weapon Fighting
Greater Spell Focus: Abjuration	Greater Spell Focus: Abjuration	Greater Spell Focus: Abjuration
Greater Spell Focus: Conjuration	Greater Spell Focus: Conjuration	Greater Spell Focus: Conjuration
Greater Spell Focus: Enchantment	Greater Spell Focus: Enchantment	Greater Spell Focus: Enchantment
Greater Spell Focus: Evocation	Greater Spell Focus: Evocation	Greater Spell Focus: Evocation
Greater Spell Focus: Illusion	Greater Spell Focus: Illusion	Greater Spell Focus: Illusion
Greater Spell Focus: Necromancy	Greater Spell Focus: Necromancy	Greater Spell Focus: Necromancy
Greater Spell Focus: Transmutation	Greater Spell Focus: Transmutation	Greater Spell Focus: Transmutation
Greater Spell Penetration	Greater Spell Penetration	Greater Spell Penetration
Greater Two Handed Fighting	Greater Two Handed Fighting	Greater Two Handed Fighting
Greater Two Weapon Fighting	Greater Two Weapon Fighting	Greater Two Weapon Fighting
Greater Weapon Focus: Bludgeoning	Greater Weapon Focus: Bludgeoning Weapons	Greater Weapon Focus: Bludgeoning Weapons
Greater Weapon Focus: Piercing	Greater Weapon Focus: Piercing Weapons	Greater Weapon Focus: Piercing Weapons
Greater Weapon Focus: Ranged	Greater Weapon Focus: Ranged Weapons	Greater Weapon Focus: Ranged Weapons
Greater Weapon Focus: Slashing	Greater Weapon Focus: Slashing Weapons	Greater Weapon Focus: Slashing Weapons
Greater Weapon Focus: Thrown	Greater Weapon Focus: Thrown Weapons	Greater Weapon Focus: Thrown Weapons
Greater Weapon Specialization: Bludgeoning	Greater Weapon Specialization: Bludgeoning Weapons	Greater Weapon Specialization: Bludgeoning Weapons
Greater Weapon Specialization: Piercing	Greater Weapon Specialization: Piercing Weapons	Greater Weapon Specialization: Piercing Weapons
Greater Weapon Specialization: Ranged	Greater Weapon Specialization: Ranged Weapons	Greater Weapon Specialization: Ranged Weapons
Greater Weapon Specialization: Slashing	Greater Weapon Specialization: Slashing Weapons	Greater Weapon Specialization: Slashing Weapons
Greater Weapon Specialization: Thrown	Greater Weapon Specialization: Thrown Weapons	Greater Weapon Specialization: Thrown Weapons
Guardian Angel	Divine Sphere: Guardian Angel	Guardian Angel
Half-Elf Dilettante: Artificer	Half-Elf Dilettante: Artificer	Half-Elf Dilettante: Artificer
Half-Elf Dilettante: Barbarian	Half-Elf Dilettante: Barbarian	Half-Elf Dilettante: Barbarian
Half-Elf Dilettante: Bard	Half-Elf Dilettante: Bard	Half-Elf Dilettante: Bard
Half-Elf Dilettante: Cleric	Half-Elf Dilettante: Cleric	Half-Elf Dilettante: Cleric
Half-Elf Dilettante: Druid	Half-Elf Dilettante: Druid	Half-Elf Dilettante: Druid
Half-Elf Dilettante: Favored Soul	Half-Elf Dilettante: Favored Soul	Half-Elf Dilettante: Favored Soul
Half-Elf Dilettante: Fighter	Half-Elf Dilettante: Fighter	Half-Elf Dilettante: Fighter
Half-Elf Dilettante: Monk	Half-Elf Dilettante: Monk	Half-Elf Dilettante: Monk
Half-Elf Dilettante: Paladin	Half-Elf Dilettante: Paladin	Half-Elf Dilettante: Paladin
Half-Elf Dilettante: Ranger	Half-Elf Dilettante: Ranger	Half-Elf Dilettante: Ranger
Half-Elf Dilettante: Rogue	Half-Elf Dilettante: Rogue	Half-Elf Dilettante: Rogue
Half-Elf Dilettante: Sorcerer	Half-Elf Dilettante: Sorcerer	Half-Elf Dilettante: Sorcerer
Half-Elf Dilettante: Warlock	Half-Elf Dilettante: Warlock	Half-Elf Dilettante: Wizard
Half-Elf Dilettante: Wizard	Half-Elf Dilettante: Wizard	Half-Elf Dilettante: Wizard
Hamstring	Hamstring	Hamstring
Harbinger of Chaos	Multiple Spheres: Harbinger of Chaos	Harbinger of Chaos
Heavy Armor Champion	Heavy Armor Champion	Heavy Armor Champion
Heavy Armor Combatant	Heavy Armor Combatant	Heavy Armor Combatant
Heavy Armor Master	Heavy Armor Master	Heavy Armor Master
Heavy Armor Training	Heavy Armor Training	Heavy Armor Training
Heighten Spell	Heighten Spell	Heighten
Hellball	Arcane Sphere: Hellball	Hellball
Holy Strike	Divine Sphere: Holy Strike	Holy Strike
Improved Augment Summoning	Epic: Improved Augment Summoning	Improved Augment Summoning
Improved Bardic Music	Improved Bardic Music	Improved Bardic Music
Improved Construct Essence	Improved Construct Essence	Improved Construct Essence
Improved Critical: Bludgeoning	Improved Critical: Bludgeoning Weapons	Improved Critical: Bludgeoning Weapons
Improved Critical: Piercing	Improved Critical: Piercing Weapons	Improved Critical: Piercing Weapons
Improved Critical: Ranged	Improved Critical: Ranged Weapons	Improved Critical: Ranged Weapons
Improved Critical: Slashing	Improved Critical: Slashing Weapons	Improved Critical: Slashing Weapons
Improved Critical: Thrown	Improved Critical: Thrown Weapons	Improved Critical: Thrown Weapons
Improved Damage Reduction	Improved Damage Reduction	Improved Damage Reduction
Improved Evasion	Improved Evasion	Improved Evasion
Improved Feint	Improved Feint	Improved Feint
Improved Fortification	Improved Fortification	Improved Fortification
Improved Martial Arts	Epic: Improved Martial Arts	Improved Martial Arts
Improved Mental Toughness	Improved Mental Toughness	Improved Mental Toughness
Improved Precise Shot	Improved Precise Shot	Improved Precise Shot
Improved Shield Bash	Improved Shield Bash	Improved Shield Bash
Improved Shield Mastery	Improved Shield Mastery	Improved Shield Mastery
Improved Single Weapon Fighting	Improved Single Weapon Fighting	Improved Single Weapon Fighting
Improved Sneak Attack	Epic: Improved Sneak Attack	Improved Sneak Attack
Improved Sunder	Improved Sunder	Improved Sunder
Improved Trip	Improved Trip	Improved Trip
Improved Turning	Improved Turning	Improved Turning
Improved Two Handed Fighting	Improved Two Handed Fighting	Improved Two Handed Fighting
Improved Two Weapon Fighting	Improved Two Weapon Fighting	Improved Two Weapon Fighting
Insightful Reflexes	Insightful Reflexes	Insightful Reflexes
Inspire Excellence	Epic: Inspire Excellence	Inspire Excellence
Intensify Spell	Epic: Intensify Spell	Intensify Spell
Iron Will	Iron Will	Iron Will
Knowledge of Battle	Knowledge of Battle	Knowledge of Battle
Lasting Inspiration	Arcane Sphere: Lasting Inspiration	Lasting Inspiration
Least Dragonmark: Finding	Least Dragonmark of Finding	Least Dragonmark of Finding
Least Dragonmark: Healing	Least Dragonmark of Healing	Least Dragonmark of Healing
Least Dragonmark: Making	Least Dragonmark of Making	Least Dragonmark of Making
Least Dragonmark: Passage	Least Dragonmark of Passage	Least Dragonmark of Passage
Least Dragonmark: Scribing	Least Dragonmark of Scribing	Least Dragonmark of Scribing
Least Dragonmark: Sentinel	Least Dragonmark of Sentinel	Least Dragonmark of Sentinel
Least Dragonmark: Shadow	Least Dragonmark of Shadow	Least Dragonmark of Shadow
Least Dragonmark: Storm	Least Dragonmark of Storm	Least Dragonmark of Storm
Least Dragonmark: Warding	Least Dragonmark of Warding	Least Dragonmark of Warding
Lightning Reflexes	Lightning Reflexes	Lightning Reflexes
Luck of Heroes	Luck of Heroes	Luck Of Heroes
Magical Training	Magical Training	Magical Training
Manyshot	Manyshot	Manyshot
Martial Weapon: Battleaxe	Martial Weapon Proficiency: Battleaxe	Martial Weapon Proficiency: Battle Axe
Martial Weapon: Falchion	Martial Weapon Proficiency: Falchion	Martial Weapon Proficiency: Falchion
Martial Weapon: Greataxe	Martial Weapon Proficiency: Greataxe	Martial Weapon Proficiency: Great Axe
Martial Weapon: Greatclub	Martial Weapon Proficiency: Greatclub	Martial Weapon Proficiency: Great Club
Martial Weapon: Greatsword	Martial Weapon Proficiency: Greatsword	Martial Weapon Proficiency: Greatsword
Martial Weapon: Handaxe	Martial Weapon Proficiency: Handaxe	Martial Weapon Proficiency: Hand Axe
Martial Weapon: Heavy Pick	Martial Weapon Proficiency: Heavy Pick	Martial Weapon Proficiency: Heavy Pick
Martial Weapon: Kukri	Martial Weapon Proficiency: Kukri	Martial Weapon Proficiency: Kukri
Martial Weapon: Light Hammer	Martial Weapon Proficiency: Light Hammer	Martial Weapon Proficiency: Light Hammer
Martial Weapon: Light Pick	Martial Weapon Proficiency: Light Pick	Martial Weapon Proficiency: Light Pick
Martial Weapon: Longbow	Martial Weapon Proficiency: Longbow	Martial Weapon Proficiency: Longbow
Martial Weapon: Longsword	Martial Weapon Proficiency: Longsword	Martial Weapon Proficiency: Longsword
Martial Weapon: Maul	Martial Weapon Proficiency: Maul	Martial Weapon Proficiency: Maul
Martial Weapon: Rapier	Martial Weapon Proficiency: Rapier	Martial Weapon Proficiency: Rapier
Martial Weapon: Scimitar	Martial Weapon Proficiency: Scimitar	Martial Weapon Proficiency: Scimitar
Martial Weapon: Shortbow	Martial Weapon Proficiency: Shortbow	Martial Weapon Proficiency: Shortbow
Martial Weapon: Shortsword	Martial Weapon Proficiency: Shortsword	Martial Weapon Proficiency: Shortsword
Martial Weapon: Throwing Axe	Martial Weapon Proficiency: Throwing Axe	Martial Weapon Proficiency: Throwing Axe
Martial Weapon: Throwing Hammer	Martial Weapon Proficiency: Throwing Hammer	Martial Weapon Proficiency: Throwing Hammer
Martial Weapon: Warhammer	Martial Weapon Proficiency: Warhammer	Martial Weapon Proficiency: Warhammer
Mass Frog	Primal Sphere: Mass Frog	Mass Frog
Master of Forms	Monk Feats: Master of Forms	Master of Forms
Master of: Air	Epic: Master of Air	Master of Air
Master of: Alignment	Epic: Master of Alignment	Master of Alignment
Master of: Artifice	Epic: Master of Artifice	Master of Artifice
Master of: Earth	Epic: Master of Earth	Master of Earth
Master of: Fire	Epic: Master of Fire	Master of Fire
Master of: Knowledge	Epic: Master of Knowledge	Master of Knowledge
Master of: Light	Epic: Master of Light	Master of Light
Master of: Music	Epic: Master of Music	Master of Music
Master of: the Dead	Epic: Master of the Dead	Master of the Dead
Master of: the Wilds	Epic: Master of the Wilds	Master of the Wilds
Master of: Water	Epic: Master of Water	Master of Water
Maximize Spell	Maximize Spell	Maximize
Mental Toughness	Mental Toughness	Mental Toughness
Mithral Body	Mithral Body	Mithral Body
Mithral Fluidity	Mithral Fluidity	Mithral Fluidity
Mobile Spellcasting	Mobile Spellcasting	Mobile Spellcasting
Mobility	Mobility	Mobility
Natural Fighting	Natural Fighting	Natural Fighting
Negotiator	Negotiator	Negotiator
Nimble Fingers	Nimble Fingers	Nimble Fingers
Opportunist	Opportunist	Opportunist
Oversized Two Weapon Fighting	Oversized Two Weapon Fighting	Oversized Two Weapon Fighting
Overwhelming Critical	Epic: Overwhelming Critical	Overwhelming Critical
Pact: Fey	Warlock: Pact: Fey	Warlock: Pact Magic: Fey
Pact: Fiend	Warlock: Pact: Fiend	Warlock: Pact Magic: Fiend
Pact: Great Old One	Warlock: Pact: Great Old One	Warlock: Pact Magic: Great Old One
Past Life: Artificer	Past Life: Student of Artifice	Past Life: Student of Artifice
Past Life: Barbarian	Past Life: Berserker's Fury	Past Life: Berserker's Fury
Past Life: Bard	Past Life: Bardic Dilettante	Past Life: Bardic Dilettante
Past Life: Cleric	Past Life: Initiate of the Faith	Past Life: Initiate of the Faith
Past Life: Druid	Past Life: Harbinger of Nature's Wrath	Past Life: Harbinger of Nature's Wrath
