Min level	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
Defense	Guard	1d8	1d8	1d8	2d8	2d8	2d8	2d8	3d8	3d8	3d8	3d8	3d8	3d8	4d8	4d8	4d8	4d8	4d8	4d8	4d8	5d8	5d8	5d8	5d8	5d8	5d8	6d8	6d8	6d8	6d8	6d8	6d8	7d8	7d8

Saves	Saves (all kinds)	1	2	2	3	3	3	4	4	4	5	5	5	6	6	6	6	7	7	7	8	8	8	9	9	9	9	10	10	10	11	11	11	12	12
Saves	Ins. Saves	0	0	0	1	1	1	1	1	1	2	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	4	5	5	5	5	5
Saves	Parrying	0	0	0	1	1	1	2	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5	5	6	6	6	6	6	7

Spellcasting	Wizardry	19	33	41	60	71	79	88	96	104	112	121	129	137	145	154	162	170	178	187	195	203	211	220	228	236	244	253	261	269	277	286	294	302	310
Spellcasting	Ins. Wizardry	9	16	20	30	35	39	44	48	52	56	60	64	68	72	77	81	85	89	93	97	101	105	110	114	118	122	126	130	134	138	143	147	151	155
Spellcasting	Spellpower	38	43	47	55	59	63	66	70	73	77	80	84	87	90	94	97	101	104	108	111	115	118	122	125	128	132	135	139	142	146	149	153	156	159
Spellcasting	Ins. Spellpower	19	21	23	27	29	31	33	35	36	38	40	42	43	45	47	48	50	52	54	55	57	59	61	62	64	66	67	69	71	73	74	76	78	79
Spellcasting	Spell Lore (one type)	6	6	7	8	9	9	10	10	11	11	12	12	13	13	14	14	15	15	16	16	17	17	18	18	19	19	20	20	21	21	22	22	23	23
Spellcasting	Potency	16	20	23	29	33	36	38	41	44	46	49	52	55	57	60	63	65	68	71	73	76	79	82	84	87	90	92	95	98	100	103	106	109	111
Spellcasting	Universal Lore	1	2	2	3	3	4	4	4	5	5	5	6	6	6	7	7	7	8	8	8	9	9	9	10	10	10	11	11	11	12	12	12	13	13
Spellcasting	Spell Focus Mastery	1	1	1	1	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	5	5	5	5	5
Spellcasting	Spell Focus	1	1	1	2	2	2	2	2	2	3	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	5	5	5	5	6	6	6	6	6
Spellcasting	Ins. Spell Focus	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3
Spellcasting	Spell Penetration	1	1	1	2	2	2	2	2	2	3	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	5	5	5	5	6	6	6	6	6
Spellcasting	Ins. Spell Penetration	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3

Non-scaling	None	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
